Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROIC %,WACC %,Effective Interest Rate on Debt %,Net Interest Margin (Bank Only) %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Asset Turnover,Dividend Payout Ratio,Interest Income,Interest Expense,Net Interest Income,Non Interest Income,Revenue,Credit Losses Provision,"Selling, General, & Admin. Expense",SpecialCharges,Other Noninterest Expense,Operating Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash and cash equivalents,Money Market Investments,Net Loan,Securities & Investments,Accounts Receivable,Deferred Policy Acquisition Costs,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Assets for Banks,Total Assets,Total Deposits,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Long-Term Debt & Capital Lease Obligation,Minority Interest,Other Liabilities for Banks,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,3.812,1.099,1.01,0.67,0.67,0,3.227,3.227,0.05,23.027,15.101,38.514,31.71,10.99,1.2,4.73,6.5,3.5,3.92,26.49,18.49,84.66,1.523,0.107,0.163,0.016,0.075,12472,-1821,10651,9678,20329,2210,7498,0,5235,5386,0,-55,5386,-1572,29.19,3814,0,3759,189,0.68,0.67,5333.1,477,5863,16978,93041,763721,225796,0,0,9545,41848,24777,93737,1244666,837662,0,54737,148603,1472,68721,1111195,8854,11897,54855,5021,54815,-541,133471,3814,0,3814,477,-156,0,0,-5508,3090,0,261,0,9569,17211,0,1642,0,0,-18831,27012,0,0,-8591,1232,634,-55,2501,-9380,-885,-10324,-17509,934,0,17211,13.05,0,1.38,2.1,6.21,6.21,1.99,0,4.37,16.63,18.01,5.55,7.92,15.37,0.63,167416.116,367147.116,-207.25,0,-209.51,50.84,41.33,35.06,28.73,-8.07,0,0,-2.48,0.255,0.13,0,0,2.96,34.1,31.2,-0.33,-7.14,48.89,21.84,-5.96,5278.8,5279.6,1.49,5/6/2011,5/8/2012
Jun-11,3.824,1.231,1.139,0.7,0.7,0,2.129,2.129,0.12,23.62,15.857,37.277,28.06,11.05,1.26,5.16,6.17,3.41,3.93,29.79,19.37,55.68,1.442,0.108,0.156,0.016,0.171,12384,-1706,10678,9708,20386,1838,7234,0,5241,6073,0,-124,6073,-2001,32.95,4072,0,3948,220,0.7,0.7,5331.7,491,6564,24059,88406,763794,241068,0,0,9613,40976,24776,91818,1259734,853635,0,53881,142872,1515,71430,1123333,8876,11730,57942,5422,55226,-1546,136401,4072,0,4072,491,42,0,0,-2308,3948,0,115,0,2724,11350,0,1419,0,0,-26294,12868,0,0,512,-11495,167,-1017,0,-7050,-788,15914,7226,7081,0,11350,10.88,0,1.19,1.77,4.9,4.9,1.79,0,4.02,14.3,15.32,6.53,9.95,12.9,0.96,148105.45,334044.45,-208.27,0,-210.49,54.07,40.7,34.23,30.34,-4.74,0,0,-2.48,0.25,0.77,0,0,3.56,32.4,25.36,0.03,-5.97,27.27,22.61,-3.85,5286.5,5278.17,1.48,8/5/2011,8/7/2012
Sep-11,3.69,1.251,1.154,0.72,0.72,0,1.735,1.735,0.12,23.937,16.577,34.898,24.12,11.2,1.26,5.38,5.98,3.44,3.78,31.28,20.66,47.01,1.335,0.106,0.141,0.015,0.167,12178,-1636,10542,9086,19628,1811,6918,0,4759,6140,0,-87,6140,-1998,32.54,4142,0,4055,216,0.73,0.72,5319.2,515,6655,18314,89804,783514,264962,0,0,9607,38807,25038,99937,1304945,895428,0,50775,133214,1476,86284,1167177,8902,11566,61135,3828,55495,-2087,137768,4142,0,4142,515,-163,0,0,15306,10217,0,78,0,-5724,9228,0,5028,0,0,-39032,15608,0,0,-23110,-41506,213,-690,0,-13774,-923,41707,26533,-5745,0,9228,8.93,0,1.01,1.46,3.81,3.81,1.57,0,3.74,12.4,13.44,7.44,15.2,10.94,1.41,127165.946,305882.946,-217.91,0,-220.1,60.91,40,31.99,31.73,-2.75,0,0,-2.53,0.242,4.78,0,0,3.75,29.38,22.88,0.11,-6.79,20,23.49,-1.35,5275.5,5272.22,1.74,11/8/2011,11/6/2012
Dec-11,3.875,1.276,1.139,0.73,0.73,0,-4.537,-4.537,0.12,24.476,15.341,33.148,27.56,11.19,1.25,5.56,6.91,3.32,3.82,29.4,19.93,-117.08,1.244,0.107,0.133,0.016,0.164,12378,-1486,10892,9713,20605,2040,7283,0,5225,6057,0,-76,6057,-1874,30.94,4183,0,4107,219,0.74,0.73,5316.8,725,6782,19440,44367,799954,300427,25939,0,9531,48076,25115,66133,1313867,920070,225,49091,125354,1446,77440,1173626,8931,11431,64385,3207,55957,-2744,140241,4183,0,4183,725,-124,0,0,-4852,12175,0,1034,0,-42241,-24124,0,0,0,0,-39734,22616,0,0,33843,16725,282,-654,0,-14895,-785,24577,8525,1126,0,-24124,9.77,0,1.13,1.8,10.79,10.79,1.81,6.39,3.87,12.1,13.23,7.56,12.6,12.45,1.49,145037.532,312919.532,-219.32,0,-217.79,53.7,39.52,28.88,31.2,0.07,0,0,-2.33,0.227,2.83,0,0,4.08,27.79,23.18,0.18,-4.56,19.67,20.95,1.53,5271.8,5262.61,1.97,2/28/2012,2/26/2014
Mar-12,4.053,1.367,1.245,0.75,0.75,0,2.98,2.98,0.12,25.166,17.66,34.088,34.14,11.26,1.28,5.69,6.53,3.08,3.76,30.73,19.63,73.51,1.242,0.109,0.135,0.016,0.16,12255,-1367,10888,10748,21636,1995,7983,3330,5010,6648,0,-72,6648,-2328,35.02,4320,0,4248,226,0.76,0.75,5337.8,649,7297,17000,74143,792076,305962,0,0,9291,39792,25140,95535,1333799,930267,0,50964,129752,1333,75967,1188283,9008,12101,67239,4216,57569,-2958,145516,4320,0,4320,649,-113,0,0,-6431,42584,0,539,0,-32187,15905,0,0,-426,0,-18680,19314,0,0,-33169,-32961,879,-64,0,5250,-1451,10002,14616,-2440,0,15905,11.77,0,1.36,1.93,14.8,14.8,2.21,2.46,4.35,13.12,14.37,6.96,14.38,14.91,1.41,180993.21,358143.21,-220.93,0,-223.22,53.15,40.15,20.76,33.95,-0.72,0,0,-2.46,0.236,5.49,0,0,4.86,34.47,28.43,-0.74,6.32,11.94,24.39,4.79,5282.6,5301.5,1.53,5/8/2012,5/8/2013
Jun-12,3.965,1.458,1.321,0.82,0.82,0,3.627,3.627,0.22,25.85,18.53,34.309,33.44,12,1.38,6.05,4.96,2.91,3.76,33.31,21.71,91.48,1.222,0.111,0.135,0.016,0.268,12354,-1317,11037,10252,21289,1800,7441,3381,4956,7092,0,-99,7092,-2371,33.43,4721,0,4622,219,0.83,0.82,5369.9,735,7827,16811,74635,808194,291265,0,0,9317,38617,25406,97365,1336204,928933,0,56023,124984,1367,76827,1188134,9054,11694,70456,4629,58091,-4638,148070,4721,0,4721,735,153,0,0,1472,19875,0,500,0,-6355,19476,0,0,-3649,0,-20931,25418,0,0,-15596,-14758,432,-2037,0,-691,-1324,-1287,-4907,-189,0,19476,11.07,0,1.29,1.8,8.79,8.79,2.15,1.33,4.25,12.38,13.64,7.33,19.23,14.42,1.73,176420.411,353677.411,-222.02,0,-224.24,57.28,40.52,25.13,35.48,0.12,0,0,-2.48,0.235,5.17,0,0,5.38,34.51,30.05,0.49,3.69,17.14,18.44,8.32,5306.9,5275.73,1.08,8/7/2012,8/7/2013
Sep-12,3.961,1.533,1.402,0.88,0.88,0,2.765,2.765,0.22,26.92,19.786,34.55,34.53,12.46,1.46,6.33,5.09,2.78,3.58,35.4,23.27,69.81,1.182,0.113,0.133,0.016,0.25,11925,-1263,10662,10551,21213,1591,7438,3018,4674,7510,0,-93,7510,-2480,33.02,5030,0,4937,220,0.89,0.88,5355.6,699,8209,16986,100442,815880,289942,0,0,9165,37737,25637,104563,1374715,952239,0,51957,130801,1380,83659,1220036,9105,12283,73994,6435,59089,-5186,154679,5030,0,5030,699,-43,0,0,4700,19109,0,264,0,-10294,14808,0,0,-244,0,-11481,6047,0,0,-32379,-38057,689,-496,0,648,-1451,24034,23424,175,0,14808,10.86,0,1.28,1.75,7.14,7.14,2.18,0.89,4.27,12.02,13.26,7.54,23.72,14.54,1.97,182650.579,362085.579,-227.44,0,-229.76,61.2,41.22,38.67,37.63,0.87,0,0,-2.49,0.241,4.43,0,0,5.95,36.13,32.85,-0.26,7.34,22.22,22.54,12.16,5288.1,5289.62,1.12,11/6/2012,11/6/2013
Dec-12,4.111,1.488,1.353,0.91,0.91,0,1.564,1.564,0.22,27.471,18.812,35.044,34.18,12.44,1.46,6.59,5.26,2.64,3.45,32.9,23.19,38.05,1.171,0.111,0.13,0.016,0.242,11857,-1214,10643,11305,21948,1831,7298,3910,5598,7221,0,-207,7221,-1924,26.64,5297,0,5090,233,0.92,0.91,5338.9,724,7945,21860,137313,829773,292681,25828,0,9428,45602,25637,60483,1422968,1002835,0,57175,127379,1357,76668,1265414,9136,12883,77679,5650,59802,-6610,157554,5297,0,5297,724,296,0,0,-11778,12895,0,395,0,-10960,8351,0,0,-3,0,-16283,16422,0,0,-54250,-54114,91,-1322,0,2094,-1231,51005,50637,4874,0,8351,10.17,0,1.24,1.82,3.13,3.13,2.12,0.63,4.15,11.41,12.54,7.97,29.53,14.3,2.28,180002.476,356936.476,-236.13,0,-234.9,61.45,41.83,54.13,37.71,3.22,0,0,-2.61,0.234,7.04,0,0,5.95,35.97,31.43,0.44,6.09,24.66,16.61,16.11,5272.3,5266.31,1.16,2/27/2013,2/25/2015
Mar-13,3.971,1.583,1.427,0.92,0.92,0,1.707,1.707,0.25,27.922,20.571,35.336,36.99,12.34,1.45,6.37,5.49,2.48,3.3,35.94,24.32,42.98,1.153,0.113,0.13,0.015,0.272,11650,-1151,10499,10760,21259,1219,8115,2661,4285,7640,0,-49,7640,-2420,31.68,5220,0,5171,240,0.93,0.92,5353.5,834,8474,16217,143804,830151,310434,0,0,9263,38879,25637,87886,1436634,1010733,0,60693,126191,1309,75622,1274548,9136,14412,81264,5145,60136,-6036,162086,5220,0,5220,834,-288,0,0,1692,17884,0,625,0,-15426,9137,0,0,0,0,-32565,14888,396,0,-8876,-26157,644,-383,610,4193,-1590,7903,11377,-5643,0,9137,10.48,0,1.32,1.8,3.83,3.83,2.31,0.55,4.46,11.77,12.97,7.71,31.66,14.96,2.46,195631.602,382019.602,-237.93,0,-240.65,61.97,41.62,67.81,40.42,3.21,0,0,-2.53,0.235,7.04,0,0,6.64,38.2,34.66,-0.43,-2.02,22.67,15.8,19.21,5279,5288.77,1.18,5/8/2013,5/7/2014
Jun-13,3.97,1.723,1.573,0.98,0.98,0,2.41,2.41,0.3,27.995,20.262,34.016,41.27,13,1.53,6.79,5.63,2.35,3.35,39.62,25.82,60.71,1.11,0.113,0.125,0.015,0.306,11827,-1077,10750,10628,21378,652,7771,2973,4484,8471,0,-89,8471,-2863,33.8,5608,0,5519,247,1,0.98,5384.6,809,9280,17939,148665,824805,308058,0,0,9190,40998,25637,90908,1440563,1021585,0,56983,123375,1356,74843,1278142,9136,13988,84923,1797,59945,-5858,162421,5608,0,5608,809,102,0,0,-2620,9940,0,514,0,-3893,12978,0,0,0,0,-20671,16132,134,0,-10414,-14819,693,-1455,0,-4760,-1746,10831,3563,1722,0,12978,11.18,0,1.47,2.04,4.89,4.89,2.58,0.5,4.62,11.7,12.86,7.78,34.69,16.42,2.4,218820.143,396583.143,-237.68,0,-240.32,64.52,41.63,82.55,41.02,6.6,0,0,-2.52,0.227,7.54,0,0,7.87,41.56,36.27,-0.25,0.13,19.51,18.18,22.37,5304.7,5302.16,1.05,8/7/2013,8/6/2014
Sep-13,3.805,1.703,1.542,0.99,0.99,0,3.921,3.921,0.3,28.749,20.91,38.884,41.32,12.91,1.52,6.67,5.32,2.13,3.3,40.54,27.24,103.05,1.227,0.112,0.138,0.014,0.303,11776,-1028,10748,9730,20478,75,7697,2831,4405,8301,0,-105,8301,-2618,31.54,5683,0,5578,261,1,0.99,5381.7,865,9166,18928,182036,822765,319602,0,0,9120,41342,25637,94262,1488055,1041871,0,53851,151212,1648,72308,1320890,9136,15549,88625,2289,60188,-7290,167165,5683,0,5683,865,-29,0,0,1878,11884,0,396,0,2275,21103,0,0,0,0,-27684,13893,-59,0,-47929,-61779,598,-2140,1707,22988,-1886,20398,41665,989,0,21103,10.87,0,1.44,1.98,4.3,4.3,2.61,0.43,4.95,12.08,13.32,7.51,37.32,16.18,2.59,217910.937,421242.937,-246.88,0,-249.82,73.03,41.23,95,42.28,4.2,0,0,-2.61,0.246,8.51,0,0,8.07,44.63,41.08,0.54,-3.94,12.5,11.09,25.03,5295.3,5273.74,0.97,11/6/2013,11/5/2014
